gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.215461269232862495e-03,2.846880999359000051e-03,2.739929353575350918e-02
2.393261075968731305e-02,-4.068337435995037638e-02,2.651318811018024343e-02
6.571970904095810265e-03,-2.823422750926536662e-02,-3.275229847397900101e-02
1.716231072515049874e-02,4.016971684657875789e-03,-5.922655093615272065e-02
4.882112680369969648e-02,4.086072521872009117e-02,4.469891910977161903e-03
5.971813994231143889e-03,5.388725936470693985e-03,4.090294792500151835e-03
-7.707179823778816108e-02,2.641072967996630286e-02,-3.228538770545216069e-02
4.623346266213702871e-02,-8.684026679730626197e-02,2.549622885315342390e-03
-2.947355565422380905e-02,-4.691878387260949024e-02,-4.065223655836922023e-02
-3.548537958690452243e-02,5.850815214114200857e-03,-7.966895381020303035e-02
7.985665270721944292e-03,-3.429156458600452623e-02,2.134382640063951786e-02
1.024829844694611670e-02,-1.661191905675855549e-02,1.380168325753959591e-02
-2.432615111654545109e-02,5.562644432670960093e-02,-1.084759884879506198e-02
-2.496696496190769013e-02,-1.725845717114055447e-02,-1.515100843086891660e-03
4.197910616491345309e-02,-3.669220090911710919e-02,-7.429938901452970076e-03
-7.470387916559961816e-02,-2.049224014117970519e-02,2.622354990729556384e-02
-3.633641460392573325e-02,1.930833086570662993e-02,-5.656380000159097476e-02
-6.996037371025657335e-03,2.117198382132494741e-02,3.358123851786951053e-02
-7.776681575138330582e-02,2.206495397022072494e-03,3.580495152148036736e-02
2.460633192253775317e-02,1.276315817724239451e-02,1.538362370649241917e-02
4.149302817281103062e-02,-1.753741365063688981e-02,5.336014330742724909e-02
9.211503884551858201e-02,-4.532331530782836987e-02,-1.154985664182529986e-01
-6.023080793811896524e-03,-5.776484848718843601e-03,1.669254144180990287e-02
2.190753621523726380e-02,-1.318799133428890519e-02,2.831463751628928577e-02
-6.433162474926180929e-02,-1.663576652174229495e-02,-9.801226463913405643e-03
9.372460614953281866e-03,3.772693940754663633e-02,3.740751109271693575e-02
2.293837694329042137e-02,-8.675194471600485013e-03,8.562876060814954282e-03
4.685538900403576901e-02,1.309410489555778989e-02,-2.677275824176294020e-02
2.850033135424111588e-02,-2.199475761710415617e-02,-1.188188170613733476e-02
-4.566831424103098835e-02,-3.089381319351471034e-02,-8.530239161335502474e-02
-3.986438699100214485e-03,-2.267459063813510173e-02,3.932052313371287022e-02
1.475024230494630974e-02,-2.251935155033383054e-02,-2.862011021578016179e-02
-8.748299206566709230e-03,-2.834288139782549162e-02,3.405983369333434509e-03
-8.376175666712899759e-03,4.376020543547534669e-03,1.154804895240019516e-02
3.934444005558240809e-02,3.839326789702057763e-02,1.029377125173001895e-03
-3.170885885225951939e-02,7.386584586810255627e-03,1.825591672965508339e-02
7.796149567065310121e-03,-4.259042933339155304e-03,-6.993451727426143461e-02
4.237258992197658752e-02,-5.277362112577192038e-02,-6.000266101396207336e-02
-6.791089273201622589e-02,1.126323294673658819e-02,-5.663032739758338922e-03
-2.875892674193991291e-02,6.639946319843498257e-02,2.268290588898614832e-02
2.973137793223603470e-02,2.254872414586580123e-02,1.522782750664221363e-02
-7.586160114995950041e-03,-2.365690371083806892e-02,-9.390964221282421115e-03
-3.707287736154162017e-02,7.228471153618540312e-02,1.507165195925496033e-02
-7.190039764686280421e-02,-1.980243670356183691e-02,3.449645925585380357e-02
2.397131139799920166e-03,2.630922179238738209e-02,1.748429054301878010e-03
1.598063620594391068e-02,5.728065920782590692e-02,-4.927429779147575462e-02
1.328106365843914789e-02,1.131567548787141761e-02,2.640472216115502882e-02
6.531392731978671873e-02,-3.097369045509939731e-02,4.231727480746478448e-02
2.280921816317776560e-02,-5.768840261033437999e-02,-4.472269467104905000e-02
2.736782113268508825e-03,-1.090690073952498007e-02,-3.588813581458603907e-02
5.912966900062878450e-02,-5.782277137680842671e-02,-1.880812192508625122e-02
-5.091758410457954825e-02,-1.249172728548403246e-03,4.032300960211981922e-02
-1.939587248801736760e-02,8.418708586756107684e-03,1.591590271500418347e-02
1.039101131698978719e-02,1.820862623578165668e-02,7.347985078191851885e-03
1.490216029110298657e-02,7.413769001452641394e-02,2.567938128251626845e-02
-2.800750963133069246e-02,5.927917141589465755e-02,-5.952331910085305322e-02
-6.252458369565418866e-03,1.177652312660614278e-02,-3.334622080814299977e-02
-1.668536600365667574e-02,-4.414568530629355003e-02,4.867996152525633918e-03
-6.211894282550212837e-02,-4.515280742339618236e-02,7.071195044588604595e-02
-8.399360892020181490e-02,-2.028877699689909248e-02,-2.068446775624667791e-02
1.620705302892044494e-02,1.724733948426587088e-02,-3.247482948507742287e-03
-1.480824169097588912e-02,-1.106276975482212155e-02,1.998923253414068807e-04
2.245761907176824571e-02,-2.937901041169461297e-02,-6.024675096901699334e-02
-8.227576670452622573e-03,-1.381034866575297886e-02,2.394905780276558246e-02
1.271478100561685559e-02,3.136531260033840508e-03,3.956158507315462453e-02
1.964064853122599215e-03,-3.853157137990529529e-02,2.109679068076224587e-02
3.454742587012570032e-02,-6.547522975162987750e-03,3.836686747078649120e-03
-1.249011643853048178e-02,1.746909235007953684e-02,4.980645968699849713e-02
-5.714416664054094985e-02,-2.244799740173336611e-02,5.606032331142864894e-02
-2.715247978016709432e-02,3.211246191062854666e-02,3.299716154245412730e-02
2.626898626540793980e-02,-4.137156220256343192e-02,-1.959819390883028520e-02
8.139613030603764718e-03,1.597231339392901975e-02,4.577939791315562001e-02
-2.961350952844925971e-03,1.242485582106150378e-02,1.889588553872975293e-02
-7.160168012288830285e-03,-1.363209149230871012e-02,4.392497423789858135e-02
-2.666740956837563431e-02,-2.630468066390205875e-02,7.983391034070116965e-02
-3.180845629916122241e-02,2.636613280067829843e-02,4.275602838014856688e-02
-4.966327898626800991e-03,3.519681272988828963e-02,-1.877178399529737599e-02
-1.742010146351517796e-02,3.113385983373967089e-03,-1.989702316699332434e-03
1.450732824126108218e-02,3.773389211741547816e-02,-4.255249195112655036e-02
3.148750663359481568e-03,1.734456881289975216e-02,9.444609190660920722e-03
4.064172479161046181e-02,6.755261080353706926e-02,-3.864114030915229148e-02
-1.852737389978069416e-02,5.055816475032874624e-02,2.421227907214481417e-02
4.583297298277272738e-03,-6.913027826323443238e-03,-2.537017424627880519e-02
1.780785745938441231e-02,2.725704426835621683e-02,4.744113035597426892e-02
4.737970197051192406e-02,-4.941696159800460821e-03,-1.598011122045496155e-02
-5.109651869839950539e-02,4.482582694149028768e-03,1.101167527738704070e-02
4.628260067285405906e-03,-4.617191454246680204e-02,1.235198346151783651e-02
2.738144483242206662e-02,9.565193646912590816e-03,4.512620472933224873e-03
7.252244521111998743e-02,-3.703319659298222950e-04,2.621715005346342969e-02
3.942603091603632398e-02,2.448832524602493482e-02,-2.258459427474874875e-04
-8.659790743592011425e-03,-1.545521793667559672e-02,-9.039061293951751105e-03
3.793537006462936040e-02,-4.108511940588174122e-02,3.274796421712958955e-02
3.988426642868270894e-02,-1.239360256652674401e-02,-7.620586538456944337e-02
-2.260242394145613870e-02,3.624034075327225296e-02,-3.934482175278125604e-02
-1.522996883227042617e-02,3.137159114852241387e-02,-1.720151806375685294e-02
6.873809635219370329e-02,2.118723691890832261e-02,-4.622969319476267352e-02
-6.294197037766013914e-03,-5.526021058150376586e-02,3.581699042004337502e-02
3.250555958756150277e-02,7.885991927546133484e-02,-3.305866653874001138e-02
-2.571619160956646263e-02,-8.952208343528128554e-02,6.672506543586344263e-02
-2.887112186159454530e-02,-5.684516376612799848e-02,-5.320850683777531009e-02
2.234626023921497742e-02,4.317170007204539084e-02,-2.246280874033591488e-02
-3.200387162936229896e-03,-4.508060559652956288e-03,6.719197893633123420e-02
-6.479931915031962066e-03,-1.001331060287917810e-02,3.896644583402747442e-03
7.461506231136932421e-04,-5.346687304876937552e-02,-1.877516576949205332e-02
9.339235766570041369e-03,-1.209336898976443725e-02,-2.968214799119901076e-02
-1.538164267998251913e-02,-1.344086046900388326e-02,-9.446809856958287774e-03
1.672101649227597867e-02,-1.597661606865092426e-02,-2.101294428264164488e-02
-1.256592631137105030e-02,-1.092212208372937525e-02,-7.317058202314973003e-02
-4.890538668523457949e-02,-3.232318118407974394e-02,6.464738897940053297e-02
-4.999659643457117497e-02,-2.938126875168318997e-02,-7.757485864576536827e-03
-7.910084967879777579e-03,-4.861350803983632667e-03,3.742681324829638320e-03
7.414176676185635362e-02,-9.883152764226448700e-03,-2.491286354285536173e-02
-2.868716481528678017e-02,2.049906644385463656e-04,3.836783099256372426e-02
1.775286690879718590e-02,6.449118691982136733e-03,-2.474563513328455200e-02
-2.214252002264361849e-02,-2.202408072939827238e-02,2.156647574123636470e-03
-1.522130605043266541e-02,1.345302277403699620e-02,-4.089174166179166889e-03
-7.779363902176515688e-02,-1.316449224162151779e-02,-2.254565161160608511e-02
-2.563421554490374205e-02,-1.961092620052197824e-02,1.181880599275668756e-02
1.090748171215602351e-02,5.146693539414895491e-02,1.664872638434296628e-02
-3.172728531240949761e-03,-7.367274738876218587e-02,-8.606047059440754968e-04
1.866163526941168327e-03,2.799718770736170717e-02,-4.041900801667604182e-02
-2.212077625344404525e-02,-1.745527356373962127e-02,3.109178115312749568e-02
2.073282264639729477e-02,-3.747541179181340405e-03,-4.069918272259830626e-03
3.473466267627808163e-02,1.934756764976324275e-02,-1.108058810319807394e-02
3.419494181957533768e-02,-4.959936363308688201e-02,1.696547495419934229e-02
3.569868455709364341e-02,3.706437104308091951e-02,-2.139620145686862984e-02
-1.674315338857568919e-02,7.873859484227914039e-04,4.052968721748003052e-03
4.128247102651973199e-02,8.276208666872227754e-03,4.354095854780944824e-02
7.158780472518587901e-05,6.159564151249305453e-02,-1.446917658054183708e-02
-1.580967868224196493e-02,6.468372668712167595e-02,-2.663557953829133809e-02
1.219290913971673648e-02,7.465586503456006495e-02,-4.444186399584314912e-02
-1.853142798417600420e-02,-3.386791134589223901e-02,-1.425785138172157990e-02
1.882673890551471441e-02,1.890513557628421826e-02,1.686904906125347159e-02
4.023265380292988941e-02,1.887622329003945526e-02,-3.724060496347925825e-02
7.162432155695089286e-02,3.714512427303033604e-02,4.031894406046541285e-02
5.982308240243410652e-02,-2.109782996565500238e-02,2.921268570744969123e-02
-2.349561857583294319e-02,-3.995819283746791101e-02,7.921159759175380266e-05
-3.465855754124289728e-02,-2.935979903898140037e-02,-2.004855856503099613e-03
-1.724470142524428540e-02,-4.406390317597626977e-02,9.390721943415170081e-03
-4.050155203923722080e-02,-1.922081325369184163e-02,-2.980925614505237561e-02
3.314352463614889544e-03,2.922080970612563403e-02,-2.262916158154184079e-02
3.548401665438925129e-02,7.809465859459739645e-02,-1.976581982387468073e-02
-9.902006032511104575e-03,1.237459067348631141e-02,-3.585597414956095269e-02
-1.989959588126036238e-02,7.318321838730917905e-02,-3.607995995973429376e-02
-1.062559159805577383e-04,2.778596201733919691e-02,2.513156585169787696e-02
-1.128691717087199238e-02,2.724877392342640869e-02,-2.658838130034853198e-02
3.232374229063500470e-02,2.137314812131149364e-02,2.373830402401190878e-02
-9.357864648635860760e-03,9.653480000564800684e-03,3.334334852705675423e-02
9.216882758230815834e-03,-9.617561931061571756e-03,2.909312354309178533e-02
-5.641946393422611616e-02,2.655871630172642814e-02,-2.738519796220378281e-03
-5.147581339065580852e-02,2.403110649363550400e-02,-2.343256503997723575e-02
-2.549358538445860647e-02,-4.962762793140276449e-03,1.213358164203617341e-02
2.801023250422572664e-02,-6.567525394694921637e-02,-3.542949833673497695e-02
3.962157351452056525e-02,2.705761608206525178e-03,4.970422829763054655e-03
8.273421271322176085e-03,-2.069417140473387914e-02,-2.011082688226315321e-02
-2.130361949016738171e-02,-6.410636214059240758e-03,-5.466430757145394198e-02
-4.261525433751714442e-02,-8.016835209670374052e-02,-3.799396619879587354e-03
-3.016552698085834747e-02,5.064609235020257200e-02,-4.868476487315673978e-03
8.391570770967311799e-02,3.570110203059959075e-02,-4.707769569213944572e-02
-2.957721919421886503e-02,5.303632787937236776e-02,-2.032816765144285567e-02
-1.282048357786033654e-02,1.156813485452540778e-02,-7.224480277719733112e-02
1.091420996452174309e-02,1.951645829257270259e-02,5.148999330832684795e-02
3.990684645959145793e-02,-4.054439888882402539e-03,-1.019949453911173955e-02
-4.189252217244313070e-02,6.039165261385089772e-02,1.752095909316652572e-02
-5.629319133560682642e-02,-1.269103882863305797e-02,-2.651830822919630515e-02
7.407719422588145142e-03,-7.032379417084176285e-03,1.006575536492625503e-02
3.324987236665191692e-02,7.868952808635724938e-02,-7.089171253434593811e-02
4.126839347519294793e-02,-2.597981341784245599e-02,-3.195723637288976071e-02
-1.049233727129059990e-01,1.141434216949977973e-02,-3.648346273716088217e-02
-2.060023423482231289e-03,-2.290985424032805640e-02,2.405898006843099068e-02
-6.332760561385741838e-02,-1.860580845961620419e-02,-9.083453594632076447e-04
-1.697552270479454548e-02,1.638683381458738014e-02,1.479127682186153619e-02
-3.990854029135669501e-02,4.663543826044427160e-02,6.005540516328878448e-02
-4.439954812985821841e-02,-2.269180607187306145e-02,4.158046114477242927e-02
4.292381008731428055e-02,-1.293492903454367127e-02,6.579131281889378374e-03
4.420910097860856341e-02,-4.138499598123602206e-03,-1.748642914597249576e-02
-5.305423749144127371e-02,-4.622688915123384507e-02,2.621704375120281413e-02
1.184784132224829881e-02,-6.239916820909528587e-03,2.622809219469128452e-03
-7.024999284188863068e-03,-1.512418299212186200e-02,1.160326403693831988e-03
2.272671667423083533e-02,2.051279180026779891e-02,9.760215459031450908e-03
4.565625276782843411e-02,-2.175158456552417699e-02,-3.190096449332654321e-02
-3.626552595173646726e-02,-9.919021332704778746e-03,-2.191313440705684040e-02
2.366283069777665518e-02,-2.176899261763915600e-02,-1.573515845181050476e-02
-3.292494789043817760e-02,2.262387506322853514e-02,3.110192645811297660e-02
1.287268672886416471e-02,3.694555787459661254e-03,1.057248051785751250e-02
-8.369026524934949571e-03,-8.102900203319161540e-03,3.189808273527930393e-02
-6.692095948507299774e-02,2.465464047632140096e-02,-2.902055083354515910e-02
4.757778056613300686e-03,-5.983402791072704729e-02,1.916261422852847535e-02
-5.288073756175654117e-03,3.805505677631525197e-02,-3.119934307305204102e-02
1.917070612364261614e-02,5.011848878029836335e-02,5.779223479321081436e-02
-1.223555108962697327e-02,-4.782945001984376110e-02,9.418169874891827928e-03
-5.332551637897417658e-03,9.210720766632695192e-03,-1.629834972361093870e-02
