ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
3.258663341500000143e+01,-8.549410990799999865e+01,1.985000000000000000e+02
