accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
7.989094727899421697e-04,-2.229114331163647642e-02,-9.796667728647220130e+00
-1.978677505317518164e-03,2.470820936825584430e-02,-9.768956466828113250e+00
1.220253398752512569e-02,7.494704705357506380e-03,-9.799210974103576888e+00
2.172882899464240181e-02,-3.409364301408739778e-02,-9.785955408142282153e+00
7.672721607283590570e-04,-9.996939535758128659e-03,-9.777226404512701308e+00
-9.874820590529582998e-03,-1.062261618558878271e-03,-9.788004858157497878e+00
9.717859721237249310e-03,-2.342626815638502308e-02,-9.779544079043139604e+00
1.337549283671230632e-02,-1.033481201662880128e-02,-9.783947922457869595e+00
8.142040569655806595e-03,1.629544179504016817e-03,-9.786313393670829086e+00
-1.516902573674789104e-02,-1.239473801553341199e-02,-9.755861291064476859e+00
2.204007334912592292e-02,1.251547888294114036e-02,-9.764098552614719040e+00
1.605130247884787448e-02,6.838544426476418636e-04,-9.802289948869196579e+00
1.497015792132433236e-02,1.923694409653068510e-02,-9.783477606360531098e+00
4.745462503607071614e-03,-1.027192315709591405e-03,-9.775217918561937225e+00
-1.827527636618545698e-02,-1.680896227451663880e-02,-9.767071381458242385e+00
1.206781454005296985e-03,-1.382610690729624628e-02,-9.765899822202445790e+00
1.375082766047014578e-03,2.639062668790421659e-02,-9.765024981236750889e+00
-7.379498318394984817e-03,-4.668134195512318139e-03,-9.757222694052336109e+00
-1.104038920378952113e-02,-6.899985100424086554e-03,-9.792294477534250419e+00
1.619760578772289419e-02,7.534357740937885038e-03,-9.804854389616856736e+00
-1.387124030120381185e-02,-1.652757856572478756e-02,-9.782649346199551843e+00
7.866438706390950844e-03,5.773593595567111728e-03,-9.788859257471873576e+00
1.318386576091714127e-02,-2.199772940969522278e-02,-9.780095229872664220e+00
-1.538724826206043506e-02,6.578180672317171865e-03,-9.803240486436356704e+00
2.697748288835975783e-03,-3.694293684592249438e-02,-9.793602308014021318e+00
7.218040177420375486e-03,-1.566423386541519400e-02,-9.776968592276070069e+00
